"","state","date","r_t_most_likely","r_t_lo","r_t_hi"
"1","Madison","2020-03-18",2.47170628108992,0.03,7.51
"2","Madison","2020-03-19",2.38186030572112,0,4.96
"3","Madison","2020-03-20",2.29417537894226,0.05,4.56
"4","Madison","2020-03-21",2.20868228342524,0.15,4.16
"5","Madison","2020-03-22",2.12541180184193,0.02,3.44
"6","Madison","2020-03-23",2.04439471686423,0.16,3.36
"7","Madison","2020-03-24",1.96566181116401,0.18,3.15
"8","Madison","2020-03-25",1.88924386741319,0.51,3.21
"9","Madison","2020-03-26",1.81517166828362,0.57,3.03
"10","Madison","2020-03-27",1.74347599644722,0.62,2.83
"11","Madison","2020-03-28",1.67418763457586,0.54,2.58
"12","Madison","2020-03-29",1.60733736534142,0.52,2.48
"13","Madison","2020-03-30",1.54295597141581,0.51,2.32
"14","Madison","2020-03-31",1.4810742354709,0.33,2.11
"15","Madison","2020-04-01",1.42172294017859,0.26,2.02
"16","Madison","2020-04-02",1.36502173635956,0.18,1.92
"17","Madison","2020-04-03",1.31101155626713,0.17,1.92
"18","Madison","2020-04-04",1.25960510472209,0.13,1.86
"19","Madison","2020-04-05",1.21071508654523,0.08,1.83
"20","Madison","2020-04-06",1.16425420655735,0.21,1.95
"21","Madison","2020-04-07",1.12013516957925,0.23,1.98
"22","Madison","2020-04-08",1.07827068043171,0.23,1.99
"23","Madison","2020-04-09",1.03857344393554,0.23,1.95
"24","Madison","2020-04-10",1.00095616491152,0.08,1.76
"25","Madison","2020-04-11",0.965331548180462,0.04,1.64
"26","Madison","2020-04-12",0.93161229856315,0,1.51
"27","Madison","2020-04-13",0.899711120880381,0,1.56
"28","Madison","2020-04-14",0.869540719952951,0,1.52
"29","Madison","2020-04-15",0.841013800601653,0,1.55
"30","Madison","2020-04-16",0.815582960246267,0,1.58
"31","Madison","2020-04-17",0.794488041189298,0,1.61
"32","Madison","2020-04-18",0.777322615575636,0,1.64
"33","Madison","2020-04-19",0.76368025555017,0,1.62
"34","Madison","2020-04-20",0.753154533257788,0,1.64
"35","Madison","2020-04-21",0.74533902084338,0,1.65
"36","Madison","2020-04-22",0.739827290451834,0,1.67
"37","Madison","2020-04-23",0.736212914228039,0,1.79
"38","Madison","2020-04-24",0.734089464316885,0,1.81
"39","Madison","2020-04-25",0.733050512863261,0,1.92
"40","Madison","2020-04-26",0.732689632012055,0,1.9
"41","Madison","2020-04-27",0.732600393908156,0.02,1.93
"42","Madison","2020-04-28",0.732376370696453,0.02,1.92
"43","Madison","2020-04-29",0.731611134521835,0,1.88
"44","Madison","2020-04-30",0.731952570824156,0,1.86
"45","Madison","2020-05-01",0.735092205735629,0,1.88
"46","Madison","2020-05-02",0.740689072439685,0,1.89
"47","Madison","2020-05-03",0.748402204119755,0,1.88
"48","Madison","2020-05-04",0.75789063395927,0,1.78
"49","Madison","2020-05-05",0.768813395141659,0,1.81
"50","Madison","2020-05-06",0.780829520850354,0,1.84
"51","Madison","2020-05-07",0.793598044268785,0,1.82
"52","Madison","2020-05-08",0.806777998580382,0,1.81
"53","Madison","2020-05-09",0.820028416968577,0,1.84
"54","Madison","2020-05-10",0.833008332616801,0,1.85
"55","Madison","2020-05-11",0.845376778708482,0,1.96
"56","Madison","2020-05-12",0.856792788427053,0.01,2.05
"57","Madison","2020-05-13",0.866915394955944,0.08,2.23
"58","Madison","2020-05-14",0.876980916375039,0.02,2.11
"59","Madison","2020-05-15",0.888327513342734,0.02,1.92
"60","Madison","2020-05-16",0.900766982910227,0,1.82
"61","Madison","2020-05-17",0.914111122128716,0,1.75
"62","Madison","2020-05-18",0.928171728049398,0,1.75
"63","Madison","2020-05-19",0.942760597723472,0,1.8
"64","Madison","2020-05-20",0.957689528202136,0,1.88
"65","Madison","2020-05-21",0.972770316536588,0,1.88
"66","Madison","2020-05-22",0.987814759778025,0,1.88
"67","Madison","2020-05-23",1.00263465497765,0,1.95
"68","Madison","2020-05-24",1.01704179918665,0.04,2.05
"69","Madison","2020-05-25",1.03084798945623,0.07,2.14
"70","Madison","2020-05-26",1.04386502283759,0.06,2.07
"71","Madison","2020-05-27",1.05590469638193,0.02,1.92
"72","Madison","2020-05-28",1.06677880714043,0.05,1.92
"73","Madison","2020-05-29",1.0768776896296,0.07,1.93
"74","Madison","2020-05-30",1.08673197762111,0.08,1.97
"75","Madison","2020-05-31",1.09636391704897,0.07,1.95
"76","Madison","2020-06-01",1.10579575384718,0.01,1.83
"77","Madison","2020-06-02",1.11504973394973,0,1.77
"78","Madison","2020-06-03",1.12414810329064,0.01,1.79
"79","Madison","2020-06-04",1.1331131078039,0.07,1.92
"80","Madison","2020-06-05",1.14196699342351,0.14,2.06
"81","Madison","2020-06-06",1.15073200608347,0.14,2.05
"82","Madison","2020-06-07",1.15943039171779,0.21,2.09
"83","Madison","2020-06-08",1.16808439626047,0.26,2.13
"84","Madison","2020-06-09",1.17671626564551,0.35,2.19
"85","Madison","2020-06-10",1.1853482458069,0.53,2.27
"86","Madison","2020-06-11",1.19400258267866,0.66,2.31
"87","Madison","2020-06-12",1.20266569688918,0.81,2.32
"88","Madison","2020-06-13",1.21130269270467,0.97,2.38
"89","Madison","2020-06-14",1.21990384151577,0.95,2.27
"90","Madison","2020-06-15",1.22845941471318,0.77,2.05
"91","Madison","2020-06-16",1.23695968368757,0.42,1.71
"92","Madison","2020-06-17",1.2453949198296,0.41,1.71
"93","Madison","2020-06-18",1.25375539452994,0.53,1.81
